HGNC:5	A1BG	a1b|a1bg|a1bg gene|abg|alpha-1-b glycoprotein|gab|hyst2477	1
HGNC:7	A2M	a2m|a2m gene|a2md|alpha-2-macroglobulin|cpamd5|fwp007|s863-7	2
HGNC:16	SERPINA3	aact|alpha-1 antichymotrypsin|alpha-1-antichymotrypsin|gig24|gig25|serpin family a member 3|serpina3|serpina3 gene	12
HGNC:17	AADAC	aadac|aadac gene|arylacetamide deacetylase|arylacetamide deacetylase (esterase)|ces5a1	13
HGNC:18	AAMP	aamp|aamp gene|angio associated migratory cell protein	14
HGNC:19	AANAT	aanat|aanat gene|aralkylamine n-acetyltransferase|arylalkylamine n-acetyltransferase|dsps|serotonin n-acetyltransferase|snat	15
HGNC:20	AARS1	aars|aars1|aars1 gene|alanyl-trna synthetase|alanyl-trna synthetase 1|alars|cmt2n|dee29|eiee29|hdls2|ttd8	16
HGNC:21	AATK	aatk|aatk gene|aatyk|aatyk1|apoptosis associated tyrosine kinase|kiaa0641|lemur tyrosine kinase 1|lmr1|lmtk1|p35bp|ppp1r77	9625
HGNC:23	ABAT	4-aminobutyrate aminotransferase|4-aminobutyrate transaminase|abat|abat gene|gaba transaminase|gaba-at|gaba-t|gabat|gamma-aminobutyrate aminotransferase|npd009	18
HGNC:29	ABCA1	abc-1|abc1|abca1|abca1 gene|atp binding cassette subfamily a member 1|cerp|hdlcqtl13|hdldt1|hpalp1|tgd	19
HGNC:30	ABCA10	abca10|abca10 gene|atp binding cassette subfamily a member 10|est698739	10349
HGNC:32	ABCA2	abc2|abca2|abca2 gene|atp binding cassette subfamily a member 2|idpogsa	20
HGNC:33	ABCA3	abc-c|abc3|abca3|abca3 gene|atp binding cassette subfamily a member 3|est111653|lbm180|smdp3	21
HGNC:34	ABCA4	abc10|abca4|abca4 gene|abcr|armd2|atp binding cassette subfamily a member 4|cord3|ffm|rp19|stgd|stgd1	24
HGNC:35	ABCA5	abc13|abca5|abca5 gene|atp binding cassette subfamily a member 5|est90625|htc3	23461
HGNC:36	ABCA6	abca6|abca6 gene|atp binding cassette subfamily a member 6|est155051	23460
HGNC:37	ABCA7	abca-ssn|abca7|abca7 gene|abcx|ad9|atp binding cassette subfamily a member 7	10347
HGNC:38	ABCA8	abca8|abca8 gene|atp binding cassette subfamily a member 8|kiaa0822	10351
HGNC:39	ABCA9	abca9|abca9 gene|atp binding cassette subfamily a member 9|est640918	10350
HGNC:40	ABCB1	abc20|abcb1|abcb1 gene|atp binding cassette subfamily b member 1|cd243|clcs|colchicin sensitivity|gp170|mdr1|multidrug resistance protein 1|p-170|p-glycoprotein|p-gp|pgy1	5243
HGNC:41	ABCB10	abc transporter 10 protein|abcb10|abcb10 gene|atp binding cassette subfamily b member 10|atp-binding cassette transporter 10|est20237|m-abc2|mitochondrial atp-binding cassette 2|mtabc2	23456
HGNC:42	ABCB11	abc16|abcb11|abcb11 gene|atp binding cassette subfamily b member 11|bile salt export pump|bric2|bsep|pfic-2|pfic2|pgy4|progressive familial intrahepatic cholestasis 2|spgp	8647
HGNC:43	TAP1	abc17|abcb2|apt1|d6s114e|psf-1|psf1|ring4|tap1|tap1 gene|tap1*0102n|tap1n	6890
HGNC:44	TAP2	abc18|abcb3|apt2|d6s217e|psf-2|psf2|ring11|tap2|tap2 gene	6891
HGNC:45	ABCB4	abc21|abcb4|abcb4 gene|atp binding cassette subfamily b member 4|gbd1|icp3|mdr2|mdr2/3|mdr3|pfic-3|pgy3	5244
HGNC:46	ABCB5	abcb5|abcb5 gene|abcb5alpha|abcb5beta|atp binding cassette subfamily b member 5|atp-binding cassette protein|est422562|p-glycoprotein abcb5	340273
HGNC:47	ABCB6	abcb6|abcb6 gene|atp binding cassette subfamily b member 6 (langereis blood group)|atp-binding cassette half-transporter|est45597|mtabc3|umat	10058
HGNC:48	ABCB7	abc7|abcb7|abcb7 gene|asat|atm1p|atp binding cassette subfamily b member 7|est140535	22
HGNC:49	ABCB8	abcb8|abcb8 gene|atp binding cassette subfamily b member 8|est328128|m-abc1|mabc1|mitochondrial abc protein|mitosur	11194
HGNC:50	ABCB9	abcb9|abcb9 gene|atp binding cassette subfamily b member 9|est122234|tapl	23457
HGNC:51	ABCC1	abc29|abcc|abcc1|abcc1 gene|atp binding cassette subfamily c member 1|dfna77|glutathione s-conjugate export pump|gs-x|mrp|mrp1|multidrug resistance associated protein 1	4363
HGNC:52	ABCC10	abcc10|abcc10 gene|atp binding cassette subfamily c member 10|est182763|mrp7|simrp7	89845
HGNC:53	ABCC2	abc30|abcc2|abcc2 gene|atp binding cassette subfamily c member 2|canalicular multispecific organic anion transporter 1|cmoat|cmrp|djs|mrp2	1244
HGNC:54	ABCC3	abc31|abcc3|abcc3 gene|atp binding cassette subfamily c member 3|canalicular multispecific organic anion transporter 2|cmoat2|est90757|mlp2|moat-d|mrp3	8714
HGNC:55	ABCC4	abcc4|abcc4 gene|atp binding cassette subfamily c member 4|canalicular multispecific organic anion transporter (abc superfamily)|est170205|moat-b|moatb|mrp4|multidrug resistance-associated protein 4|multispecific organic anion transporter b	10257
HGNC:56	ABCC5	abc33|abcc5|abcc5 gene|atp binding cassette subfamily c member 5|est277145|moat-c|moatc|mrp5|pabc11|smrp	10057
HGNC:57	ABCC6	abc34|abcc6|abcc6 gene|atp binding cassette subfamily c member 6|est349056|gaci2|mlp1|moat-e|moate|mrp6|pseudoxanthoma elasticum|pxe|pxe1|urg7	368
HGNC:59	ABCC8	abc36|abcc8|abcc8 gene|atp binding cassette subfamily c member 8|hhf1|hrins|phhi|pndm3|sulfonylurea receptor (hyperinsulinemia)|sur|sur1|sur1delta2|tndm2	6833
